시도,특수학교 학교 수,특수학교 학급 수,특수학교 학생 수,특수학교 교원 수,특수학교 일반직,특수학급 학교 수,특수학급 학급 수,특수학급 학생 수,특수학급 교사,일반학급 학교 수,일반학급 학급 수,일반학급 학생 수,특수교육지원센터 장애 영아,특수교육지원센터 교사(정규),학생 계
계,194,5443,28942,10146,1813,9288,13287,61993,13888,8366,17497,18474,294,1565,109703
서울,32,856,4483,1547,365,936,1588,7167,1658,1010,2151,2195,43,101,13888
부산,15,371,2022,690,130,524,640,3297,652,649,1701,1816,,54,7135
대구,11,334,1908,678,80,339,469,2205,486,509,1311,1399,6,87,5518
인천,10,352,1946,588,55,509,793,4096,818,550,1474,1589,17,102,7648
광주,5,228,1170,425,32,244,322,1582,336,258,600,634,,44,3386
대전,6,196,1122,368,53,282,390,1922,414,240,487,491,6,55,3541
울산,4,151,775,254,41,226,341,1621,346,222,491,510,4,39,2910
세종,2,48,229,79,14,128,153,659,153,71,129,137,,16,1025
경기,38,953,5419,2080,370,2354,3628,17535,3998,1804,3742,3930,79,357,26963
강원,9,199,866,320,73,370,407,1789,407,288,460,476,3,55,3134
충북,11,289,1384,496,87,428,579,2584,584,306,677,712,10,100,4690
충남,10,279,1342,494,79,551,818,3716,830,336,491,523,2,89,5583
전북,10,216,1119,388,79,412,505,2220,509,471,859,934,,86,4273
전남,9,220,1197,424,106,565,728,2832,731,226,290,307,,72,4336
경북,8,254,1501,456,131,579,727,3159,741,644,1103,1188,30,130,5878
경남,11,392,1914,676,92,726,1034,4604,1035,613,1133,1209,7,143,7734
제주,3,105,545,183,26,115,165,1005,190,169,398,424,87,35,2061
